maker-21-augustus-gene-31.0-mRNA-1	IPR006769,IPR039055
maker-27-snap-gene-103.0-mRNA-1	IPR001902,IPR002645,IPR011547,IPR030282
maker-31-augustus-gene-45.16-mRNA-1	IPR006554,IPR006555,IPR010614,IPR014013,IPR028331
snap_masked-111838-processed-gene-0.3-mRNA-1	IPR004165
snap_masked-59-processed-gene-51.3-mRNA-1	IPR011598,IPR039091,IPR039092
augustus_masked-15-processed-gene-26.8-mRNA-1	IPR017920,IPR033776,IPR037351
snap_masked-241-processed-gene-1.21-mRNA-1	IPR000494
snap_masked-6-processed-gene-14.12-mRNA-1	IPR023753,IPR040156
augustus_masked-6-processed-gene-315.13-mRNA-1	IPR000719
maker-6-snap-gene-308.6-mRNA-1	IPR000276,IPR000497,IPR000929,IPR017452
maker-0start-snap-gene-129.1-mRNA-1	IPR000895,IPR023416,IPR030178
augustus_masked-21-processed-gene-57.1-mRNA-1	IPR000719
maker-64-snap-gene-41.6-mRNA-1	IPR000276,IPR017452
snap_masked-12-processed-gene-37.15-mRNA-1	IPR003126,IPR039164
maker-14-augustus-gene-58.10-mRNA-1	IPR002123
augustus_masked-192-processed-gene-1.19-mRNA-1	IPR002769
augustus_masked-2-processed-gene-80.17-mRNA-1	IPR015482
maker-145-augustus-gene-16.11-mRNA-1	IPR006693,IPR039097
snap_masked-4-processed-gene-2.7-mRNA-1	IPR005828
maker-13-augustus-gene-54.15-mRNA-1	IPR005037
maker-109-augustus-gene-21.7-mRNA-1	IPR005123,IPR006620
snap_masked-268-processed-gene-29.15-mRNA-1	IPR006735,IPR027799
snap_masked-4-processed-gene-187.2-mRNA-1	IPR015655
snap_masked-355-processed-gene-0.2-mRNA-1	IPR001478
augustus_masked-106636-processed-gene-0.1-mRNA-1	IPR013026
maker-373-augustus-gene-0.13-mRNA-1	IPR003598,IPR003599,IPR007110,IPR013098,IPR027112
maker-171-augustus-gene-6.46-mRNA-1	IPR000008,IPR002642
maker-410-snap-gene-0.7-mRNA-1	IPR001478
snap_masked-184-processed-gene-2.24-mRNA-1	IPR010515
maker-32-augustus-gene-213.5-mRNA-1	IPR002498,IPR023610
augustus_masked-6-processed-gene-385.10-mRNA-1	IPR005024
snap_masked-458-processed-gene-0.38-mRNA-1	IPR001873
maker-129-augustus-gene-3.3-mRNA-1	IPR000719,IPR001245,IPR003598,IPR003599,IPR007110,IPR013098,IPR013151,IPR020635,IPR041159
augustus_masked-3-processed-gene-96.0-mRNA-1	IPR004162,IPR018121
maker-40-snap-gene-2.11-mRNA-1	IPR002347
maker-12-snap-gene-76.15-mRNA-1	IPR007216
augustus_masked-14-processed-gene-64.4-mRNA-1	IPR010508,IPR023362,IPR031570
snap_masked-94-processed-gene-1.16-mRNA-1	IPR000210,IPR003131,IPR003971,IPR028325
snap_masked-14-processed-gene-116.0-mRNA-1	IPR000276,IPR017452
maker-25-augustus-gene-145.3-mRNA-1	IPR003439,IPR003593,IPR013525,IPR030256
maker-247000-snap-gene-0.0-mRNA-1	IPR001675
maker-1-augustus-gene-62.12-mRNA-1	IPR007822,IPR020464
maker-10-augustus-gene-20.8-mRNA-1	IPR000210,IPR013087
maker-1-snap-gene-131.2-mRNA-1	IPR001452,IPR028506
maker-111071-snap-gene-0.11-mRNA-1	IPR006091,IPR009075,IPR013786
maker-65-snap-gene-3.18-mRNA-1	IPR001073,IPR008160,IPR037572
snap_masked-260-processed-gene-0.34-mRNA-1	IPR000210,IPR013087
snap_masked-10-processed-gene-124.4-mRNA-1	IPR020519
maker-110092-snap-gene-0.8-mRNA-1	IPR008253,IPR010844,IPR031176,IPR031177
snap_masked-110389-processed-gene-0.7-mRNA-1	IPR003020,IPR011531
maker-29-augustus-gene-34.6-mRNA-1	IPR008564
maker-113282-snap-gene-0.2-mRNA-1	IPR002126,IPR013164,IPR032455
maker-0start-augustus-gene-365.8-mRNA-1	IPR000308,IPR023410
snap_masked-249217-processed-gene-0.2-mRNA-1	IPR004087,IPR004088
snap_masked-0start-processed-gene-100.6-mRNA-1	IPR000648,IPR002110,IPR020683
snap_masked-13-processed-gene-5.25-mRNA-1	IPR006083,IPR029925
maker-13-augustus-gene-21.4-mRNA-1	IPR001388,IPR010908,IPR042855
augustus_masked-48-processed-gene-1.14-mRNA-1	IPR001148,IPR018343,IPR023561
maker-18-augustus-gene-45.0-mRNA-1	IPR009565
maker-31-augustus-gene-51.4-mRNA-1	IPR001611,IPR006553
augustus_masked-12-processed-gene-3.19-mRNA-1	IPR001849
augustus_masked-220-processed-gene-48.9-mRNA-1	IPR004172,IPR015143
snap_masked-189-processed-gene-1.55-mRNA-1	IPR000033
maker-13-augustus-gene-217.0-mRNA-1	IPR003617,IPR003618,IPR017923
maker-13-augustus-gene-20.8-mRNA-1	IPR006139,IPR006140
maker-63-augustus-gene-0.2-mRNA-1	IPR029723
maker-10-snap-gene-71.28-mRNA-1	IPR001128,IPR002401
augustus_masked-246769-processed-gene-0.0-mRNA-1	IPR011598
maker-112736-snap-gene-0.5-mRNA-1	IPR016054
maker-13-augustus-gene-90.3-mRNA-1	IPR006634
maker-6-augustus-gene-320.3-mRNA-1	IPR000009,IPR001680
augustus_masked-23-processed-gene-21.24-mRNA-1	IPR000663,IPR007673,IPR024324,IPR026971,IPR032682
augustus_masked-109-processed-gene-61.14-mRNA-1	IPR042554
maker-98-augustus-gene-0.6-mRNA-1	IPR006101,IPR006102,IPR006103,IPR006104
maker-114-augustus-gene-0.40-mRNA-1	IPR038757
maker-59-snap-gene-244.3-mRNA-1	IPR000477,IPR003545,IPR021891
maker-192927-snap-gene-0.7-mRNA-1	IPR001694
maker-75-augustus-gene-4.20-mRNA-1	IPR002159,IPR005429
maker-112977-snap-gene-0.10-mRNA-1	IPR000749,IPR022413,IPR022414
maker-109-snap-gene-3.8-mRNA-1	IPR000719,IPR001849,IPR002219,IPR015727,IPR020454
maker-13-augustus-gene-175.0-mRNA-1	IPR000719,IPR000961,IPR001478,IPR015022,IPR028779,IPR041489
maker-207-augustus-gene-10.5-mRNA-1	IPR000276,IPR017452
augustus_masked-111448-processed-gene-0.0-mRNA-1	IPR013594,IPR013602,IPR026983,IPR030443,IPR035699
maker-13-augustus-gene-172.10-mRNA-1	IPR000866,IPR013766,IPR019479
maker-5-snap-gene-72.7-mRNA-1	IPR032736
augustus_masked-114-processed-gene-7.2-mRNA-1	IPR001965,IPR013637,IPR019787
maker-303-augustus-gene-4.1-mRNA-1	IPR002110,IPR020683
maker-236-snap-gene-13.4-mRNA-1	IPR001039,IPR003597,IPR007110,IPR011161
maker-8-snap-gene-159.7-mRNA-1	IPR000530,IPR004038
snap_masked-0start-processed-gene-254.8-mRNA-1	IPR014720,IPR032478
augustus_masked-251041-processed-gene-0.6-mRNA-1	IPR000884,IPR010294,IPR010909
augustus_masked-20-processed-gene-40.5-mRNA-1	IPR000602,IPR011682,IPR015341
maker-112077-snap-gene-0.9-mRNA-1	IPR000315,IPR001841,IPR021978
augustus_masked-282-processed-gene-0.18-mRNA-1	IPR001837,IPR006599,IPR013912,IPR013992,IPR017901,IPR028415
maker-55-augustus-gene-7.28-mRNA-1	IPR007599
augustus_masked-448-processed-gene-1.31-mRNA-1	IPR022065
maker-444-snap-gene-5.34-mRNA-1	IPR009038,IPR015720
maker-47-augustus-gene-19.14-mRNA-1	IPR001841
augustus_masked-37-processed-gene-17.1-mRNA-1	IPR000276,IPR000725,IPR017452
snap_masked-66-processed-gene-7.17-mRNA-1	IPR004843
maker-1-snap-gene-25.15-mRNA-1	IPR000644,IPR001926
maker-306-augustus-gene-3.11-mRNA-1	IPR004273,IPR013602,IPR024317,IPR024743,IPR026983,IPR035699,IPR035706,IPR041466,IPR041589,IPR041658
maker-15-augustus-gene-119.3-mRNA-1	IPR001254,IPR001314
maker-0start-augustus-gene-35.2-mRNA-1	IPR011019,IPR029901,IPR029905
maker-440-snap-gene-0.13-mRNA-1	IPR001841,IPR022170
augustus_masked-343-processed-gene-28.8-mRNA-1	IPR007704
maker-113257-snap-gene-0.13-mRNA-1	IPR001356,IPR020479
augustus_masked-129-processed-gene-5.27-mRNA-1	IPR020282,IPR039580
augustus_masked-113217-processed-gene-0.7-mRNA-1	IPR002490
maker-218-augustus-gene-6.29-mRNA-1	IPR005027
snap_masked-230-processed-gene-3.35-mRNA-1	IPR000276,IPR000725,IPR017452
augustus_masked-99-processed-gene-69.0-mRNA-1	IPR000742,IPR001881
maker-32-snap-gene-137.0-mRNA-1	IPR003150,IPR007668,IPR039779
augustus_masked-0start-processed-gene-355.0-mRNA-1	IPR000210,IPR003131,IPR003968,IPR003971,IPR005821,IPR028325
maker-6-snap-gene-131.12-mRNA-1	IPR002853,IPR017919,IPR021600,IPR024550,IPR039997
maker-323-augustus-gene-61.18-mRNA-1	IPR002347
augustus_masked-4-processed-gene-158.4-mRNA-1	IPR000742,IPR001007,IPR001881
maker-0start-augustus-gene-398.2-mRNA-1	IPR013026,IPR019734,IPR039856
maker-272-snap-gene-3.19-mRNA-1	IPR001925,IPR027246,IPR030270
maker-8-snap-gene-154.0-mRNA-1	IPR000814
snap_masked-112837-processed-gene-0.2-mRNA-1	IPR013149
augustus_masked-172-processed-gene-58.1-mRNA-1	IPR022150
maker-238-augustus-gene-37.1-mRNA-1	IPR007110,IPR042381
snap_masked-275-processed-gene-6.37-mRNA-1	IPR006629,IPR037519
augustus_masked-186-processed-gene-4.4-mRNA-1	IPR008570
maker-46-snap-gene-2.18-mRNA-1	IPR001478
augustus_masked-341-processed-gene-0.45-mRNA-1	IPR000742,IPR000859,IPR001506,IPR001881,IPR006026,IPR029837
maker-172-augustus-gene-29.1-mRNA-1	IPR001452,IPR002017,IPR018159
maker-372-augustus-gene-7.30-mRNA-1	IPR001293,IPR001841,IPR002083,IPR018957,IPR027133,IPR032070
augustus_masked-6-processed-gene-287.7-mRNA-1	IPR010510
maker-112232-augustus-gene-0.5-mRNA-1	IPR007262
maker-272-snap-gene-1.32-mRNA-1	IPR000608
snap_masked-184-processed-gene-1.6-mRNA-1	IPR007044
maker-16-augustus-gene-134.16-mRNA-1	IPR001382
snap_masked-185-processed-gene-1.5-mRNA-1	IPR001849
maker-99-snap-gene-131.5-mRNA-1	IPR001680,IPR005108,IPR017986,IPR024977
maker-399-augustus-gene-0.2-mRNA-1	IPR039873
snap_masked-120-processed-gene-1.11-mRNA-1	IPR031197
maker-13-augustus-gene-67.3-mRNA-1	IPR000504
augustus_masked-33-processed-gene-2.2-mRNA-1	IPR002072,IPR015578,IPR020408
maker-16-augustus-gene-55.8-mRNA-1	IPR013568,IPR027841,IPR039465
maker-27-augustus-gene-113.9-mRNA-1	IPR016471,IPR041525,IPR041529
augustus_masked-6-processed-gene-380.8-mRNA-1	IPR003598,IPR003599,IPR007110,IPR013098
maker-142-augustus-gene-15.15-mRNA-1	IPR001478,IPR004328,IPR011072,IPR041489
maker-12-snap-gene-29.9-mRNA-1	IPR000047,IPR001356,IPR020479,IPR022135
maker-112958-snap-gene-0.13-mRNA-1	IPR007741,IPR016464
maker-109-augustus-gene-62.4-mRNA-1	IPR004839
maker-22-augustus-gene-34.5-mRNA-1	IPR008628
maker-8-augustus-gene-7.1-mRNA-1	IPR009852,IPR026581
augustus_masked-398-processed-gene-7.18-mRNA-1	IPR031530
augustus_masked-252602-processed-gene-0.0-mRNA-1	IPR016071
maker-126-augustus-gene-5.14-mRNA-1	IPR000086
maker-223-snap-gene-1.7-mRNA-1	IPR017923
maker-6-augustus-gene-308.10-mRNA-1	IPR000210,IPR013087
maker-1-augustus-gene-62.9-mRNA-1	IPR005334
maker-87-augustus-gene-11.2-mRNA-1	IPR000299,IPR000857,IPR006020,IPR019748,IPR019749
augustus_masked-10-processed-gene-42.1-mRNA-1	IPR007484,IPR039373
augustus_masked-295-processed-gene-61.0-mRNA-1	IPR010465,IPR014767,IPR015425,IPR027644
maker-106-augustus-gene-19.8-mRNA-1	IPR002946,IPR004045,IPR010987,IPR030264
maker-291-snap-gene-6.23-mRNA-1	IPR001674,IPR017926,IPR022310,IPR025777
maker-153-augustus-gene-50.13-mRNA-1	IPR003890,IPR003891
maker-34-augustus-gene-33.1-mRNA-1	IPR001007,IPR001846,IPR002919,IPR006207,IPR014853,IPR030105
maker-398-augustus-gene-18.7-mRNA-1	IPR000719,IPR002219,IPR020454
snap_masked-49-processed-gene-14.1-mRNA-1	IPR002495
augustus_masked-110221-processed-gene-0.0-mRNA-1	IPR031601
maker-444-augustus-gene-0.6-mRNA-1	IPR001680,IPR005617,IPR009146,IPR017986
maker-99-augustus-gene-7.0-mRNA-1	IPR001841,IPR003903,IPR004575,IPR015877
snap_masked-32-processed-gene-149.2-mRNA-1	IPR003347
maker-282-snap-gene-0.22-mRNA-1	IPR016040
snap_masked-444-processed-gene-6.22-mRNA-1	IPR007110,IPR027231
maker-1-snap-gene-149.12-mRNA-1	IPR000504,IPR000571,IPR003954,IPR009145
maker-323-augustus-gene-57.22-mRNA-1	IPR000796,IPR004839
augustus_masked-1-processed-gene-121.0-mRNA-1	IPR029268
snap_masked-6-processed-gene-339.4-mRNA-1	IPR001356
maker-39-snap-gene-43.11-mRNA-1	IPR008428
maker-1-augustus-gene-31.5-mRNA-1	IPR004625,IPR013749
maker-7-augustus-gene-269.18-mRNA-1	IPR000900,IPR001452
augustus_masked-248976-processed-gene-0.3-mRNA-1	IPR000413,IPR002035,IPR013517,IPR013519
augustus_masked-92-processed-gene-0.17-mRNA-1	IPR002833
maker-172-augustus-gene-32.7-mRNA-1	IPR000850
augustus_masked-2-processed-gene-88.0-mRNA-1	IPR025739,IPR025740,IPR025741
maker-29-snap-gene-65.2-mRNA-1	IPR002035
augustus_masked-22-processed-gene-16.4-mRNA-1	IPR001680,IPR017986,IPR020472
augustus_masked-31-processed-gene-6.0-mRNA-1	IPR002350,IPR004156,IPR030764
augustus_masked-0start-processed-gene-270.7-mRNA-1	IPR001356,IPR003604,IPR013087
snap_masked-489-processed-gene-0.3-mRNA-1	IPR015449
maker-99-snap-gene-78.8-mRNA-1	IPR004367,IPR006671,IPR013763
augustus_masked-59-processed-gene-277.13-mRNA-1	IPR001841,IPR033609
maker-11-augustus-gene-56.1-mRNA-1	IPR000215,IPR015557,IPR023796
maker-47-augustus-gene-11.2-mRNA-1	IPR021131
maker-9-augustus-gene-74.11-mRNA-1	IPR019325
maker-113-snap-gene-34.5-mRNA-1	IPR024395,IPR034085
maker-95-augustus-gene-9.52-mRNA-1	IPR000595,IPR003938,IPR005821,IPR013621
augustus_masked-451-processed-gene-25.0-mRNA-1	IPR000953,IPR002110,IPR020683,IPR023780
snap_masked-9-processed-gene-42.2-mRNA-1	IPR003523,IPR032200,IPR032201
maker-13-augustus-gene-43.6-mRNA-1	IPR001356,IPR001781
maker-132-snap-gene-9.12-mRNA-1	IPR000571,IPR001841,IPR018957,IPR031644,IPR041367
snap_masked-9-processed-gene-18.3-mRNA-1	IPR000742,IPR001791,IPR001881,IPR002126
maker-248-augustus-gene-0.30-mRNA-1	IPR002213
maker-400-snap-gene-0.23-mRNA-1	IPR002048
snap_masked-114-processed-gene-8.11-mRNA-1	IPR015428
maker-16-augustus-gene-97.1-mRNA-1	IPR022091,IPR022092
maker-23-augustus-gene-23.7-mRNA-1	IPR009865
maker-112399-augustus-gene-0.6-mRNA-1	IPR005301
maker-49-snap-gene-33.27-mRNA-1	IPR004826,IPR004827,IPR024874,IPR033531
maker-26-snap-gene-95.4-mRNA-1	IPR003598,IPR003599,IPR007110,IPR013106,IPR042474
maker-10-snap-gene-71.27-mRNA-1	IPR001128,IPR002401
augustus_masked-447-processed-gene-0.74-mRNA-1	IPR001356
augustus_masked-5-processed-gene-15.2-mRNA-1	IPR023216,IPR028376
maker-46-snap-gene-8.29-mRNA-1	IPR039493,IPR039587
snap_masked-44-processed-gene-7.6-mRNA-1	IPR003961
maker-0start-snap-gene-390.11-mRNA-1	IPR026111,IPR027817
maker-12-augustus-gene-38.0-mRNA-1	IPR010622,IPR013579,IPR013584
maker-0start-augustus-gene-400.1-mRNA-1	IPR017025
maker-16-augustus-gene-48.0-mRNA-1	IPR001163,IPR040002
augustus_masked-6-processed-gene-62.2-mRNA-1	IPR001173
maker-29-snap-gene-102.2-mRNA-1	IPR001128,IPR002402,IPR008072
maker-67-augustus-gene-35.3-mRNA-1	IPR000504,IPR003954,IPR029123
maker-394-augustus-gene-4.36-mRNA-1	IPR012446,IPR030034
snap_masked-268-processed-gene-31.3-mRNA-1	IPR004979,IPR013854
maker-16-snap-gene-28.11-mRNA-1	IPR007863,IPR011765
maker-69-augustus-gene-8.31-mRNA-1	IPR001781,IPR037987
augustus_masked-4-processed-gene-313.0-mRNA-1	IPR000219,IPR000536,IPR001628,IPR001723,IPR001849
snap_masked-139-processed-gene-0.7-mRNA-1	IPR001548
maker-59-snap-gene-50.2-mRNA-1	IPR026709,IPR028002
maker-129-augustus-gene-2.1-mRNA-1	IPR000203,IPR000483,IPR000832,IPR001611,IPR001879,IPR003591,IPR003599,IPR007110,IPR013098,IPR017981
snap_masked-15-processed-gene-144.1-mRNA-1	IPR029357
maker-9-augustus-gene-60.6-mRNA-1	IPR008389
maker-54-snap-gene-97.41-mRNA-1	IPR000547,IPR001180,IPR019452,IPR019453,IPR032914
augustus_masked-25-processed-gene-134.6-mRNA-1	IPR027838
maker-31-augustus-gene-43.2-mRNA-1	IPR000175
augustus_masked-241-processed-gene-4.36-mRNA-1	IPR000980,IPR006020,IPR013625
augustus_masked-295-processed-gene-6.12-mRNA-1	IPR000980
maker-29-snap-gene-101.35-mRNA-1	IPR003961
snap_masked-76-processed-gene-33.12-mRNA-1	IPR001058,IPR002460,IPR002462
maker-14-augustus-gene-53.18-mRNA-1	IPR000086,IPR039989
snap_masked-3-processed-gene-28.3-mRNA-1	IPR026302,IPR026568
maker-112902-augustus-gene-0.2-mRNA-1	IPR029393
maker-10-augustus-gene-67.43-mRNA-1	IPR001007,IPR010895
maker-1-augustus-gene-266.8-mRNA-1	IPR001781,IPR037987
maker-219-augustus-gene-19.26-mRNA-1	IPR001452,IPR006020,IPR013625,IPR030222,IPR039801,IPR041418
maker-323-snap-gene-98.3-mRNA-1	IPR009643
maker-21-augustus-gene-8.4-mRNA-1	IPR001752,IPR027640
maker-139-snap-gene-2.22-mRNA-1	IPR001680,IPR017986
maker-295-snap-gene-52.0-mRNA-1	IPR030382
augustus_masked-450-processed-gene-1.60-mRNA-1	IPR008605
maker-18-snap-gene-90.5-mRNA-1	IPR000980,IPR006019,IPR006020,IPR029596
maker-10-augustus-gene-131.1-mRNA-1	IPR000402
maker-50-augustus-gene-9.1-mRNA-1	IPR019547
maker-6-augustus-gene-3.3-mRNA-1	IPR001873
augustus_masked-7-processed-gene-148.4-mRNA-1	IPR003439,IPR003593,IPR011527,IPR039421
maker-223-snap-gene-3.9-mRNA-1	IPR008062,IPR016449,IPR040445,IPR041647
maker-30-snap-gene-18.17-mRNA-1	IPR038901
maker-276-augustus-gene-1.6-mRNA-1	IPR004092,IPR038038
snap_masked-110733-processed-gene-0.1-mRNA-1	IPR006652
snap_masked-8-processed-gene-143.6-mRNA-1	IPR000225
augustus_masked-306-processed-gene-4.5-mRNA-1	IPR000832,IPR001879,IPR003291,IPR017981
maker-0start-snap-gene-458.1-mRNA-1	IPR001487,IPR003593,IPR003959,IPR031252,IPR041569
maker-8-snap-gene-97.7-mRNA-1	IPR000219
maker-295-snap-gene-40.16-mRNA-1	IPR018937
maker-28-augustus-gene-33.2-mRNA-1	IPR003100,IPR003165,IPR014811,IPR031326
maker-99-augustus-gene-106.4-mRNA-1	IPR001650,IPR011545,IPR014001,IPR014014
maker-18-augustus-gene-11.17-mRNA-1	IPR000488,IPR002110,IPR020683,IPR039194
maker-398-snap-gene-10.0-mRNA-1	IPR000219,IPR001452,IPR001849
maker-46-snap-gene-8.27-mRNA-1	IPR032013
maker-7-snap-gene-256.17-mRNA-1	IPR000562,IPR000772,IPR001304
snap_masked-120-processed-gene-4.18-mRNA-1	IPR013087,IPR041697
maker-93-augustus-gene-2.32-mRNA-1	IPR001849
augustus_masked-21-processed-gene-71.11-mRNA-1	IPR002126,IPR030711
maker-8-snap-gene-235.23-mRNA-1	IPR029569,IPR029573
maker-227-augustus-gene-7.7-mRNA-1	IPR000538,IPR000742,IPR000782,IPR001881,IPR002049,IPR024731
maker-21-augustus-gene-23.1-mRNA-1	IPR001128,IPR002401,IPR008069
maker-245451-snap-gene-0.1-mRNA-1	IPR003377
maker-246170-snap-gene-0.0-mRNA-1	IPR000832,IPR017981
maker-295-augustus-gene-47.6-mRNA-1	IPR002209,IPR028279
augustus_masked-318-processed-gene-28.19-mRNA-1	IPR026081
maker-13-augustus-gene-17.19-mRNA-1	IPR006052
maker-12-augustus-gene-46.3-mRNA-1	IPR001781
snap_masked-309-processed-gene-0.31-mRNA-1	IPR000536,IPR001628,IPR001723,IPR003070
maker-59-augustus-gene-219.5-mRNA-1	IPR006569,IPR006903,IPR032337
snap_masked-368-processed-gene-42.17-mRNA-1	IPR019438
snap_masked-219-processed-gene-10.0-mRNA-1	IPR000225,IPR028435
snap_masked-380-processed-gene-12.1-mRNA-1	IPR002589
maker-55-augustus-gene-15.38-mRNA-1	IPR001806
maker-197-augustus-gene-17.11-mRNA-1	IPR002110,IPR020683,IPR039195
snap_masked-110733-processed-gene-0.0-mRNA-1	IPR003117
snap_masked-22-processed-gene-39.18-mRNA-1	IPR009294
maker-320-augustus-gene-4.3-mRNA-1	IPR013126
snap_masked-4-processed-gene-124.6-mRNA-1	IPR013087,IPR040048,IPR041661
maker-67-snap-gene-43.4-mRNA-1	IPR005026,IPR030527
maker-8-augustus-gene-232.7-mRNA-1	IPR003150,IPR039779
augustus_masked-6-processed-gene-132.2-mRNA-1	IPR002181
maker-123-augustus-gene-0.19-mRNA-1	IPR025252
snap_masked-47-processed-gene-84.5-mRNA-1	IPR026718
maker-28-augustus-gene-5.28-mRNA-1	IPR001478,IPR035269,IPR040815
maker-6-snap-gene-349.6-mRNA-1	IPR007276
augustus_masked-27-processed-gene-72.0-mRNA-1	IPR008899,IPR030629
augustus_masked-56-processed-gene-14.0-mRNA-1	IPR000276,IPR000826,IPR002258,IPR017452
augustus_masked-111540-processed-gene-0.3-mRNA-1	IPR000009
augustus_masked-13-processed-gene-172.16-mRNA-1	IPR021836
maker-10-augustus-gene-68.21-mRNA-1	IPR001392,IPR022775,IPR028565
maker-283-augustus-gene-15.12-mRNA-1	IPR012478
snap_masked-16-processed-gene-71.3-mRNA-1	IPR001148,IPR018431,IPR023561
