maker-22-augustus-gene-57.1-mRNA-1	PR01405
maker-68-augustus-gene-30.8-mRNA-1	PR00179,PR01174
augustus_masked-40-processed-gene-3.8-mRNA-1	PR00193
maker-18-augustus-gene-18.33-mRNA-1	PR01705,PR01857
maker-11-augustus-gene-42.19-mRNA-1	PR00109
maker-367-snap-gene-0.10-mRNA-1	PR00625
snap_masked-25-processed-gene-99.5-mRNA-1	PR00499
maker-54-augustus-gene-8.20-mRNA-1	PR00926
maker-39-augustus-gene-61.1-mRNA-1	PR00019
maker-19-augustus-gene-71.1-mRNA-1	PR00449
maker-114-snap-gene-0.12-mRNA-1	PR00449
maker-10-snap-gene-106.19-mRNA-1	PR00080,PR00081
maker-368-snap-gene-47.1-mRNA-1	PR00449
augustus_masked-26-processed-gene-88.7-mRNA-1	PR00206,PR01135
snap_masked-9-processed-gene-49.55-mRNA-1	PR00237,PR01103
augustus_masked-8-processed-gene-40.9-mRNA-1	PR00237,PR02108
maker-65-augustus-gene-3.20-mRNA-1	PR00007
maker-59-augustus-gene-19.13-mRNA-1	PR00363
snap_masked-433-processed-gene-1.41-mRNA-1	PR00722
augustus_masked-30-processed-gene-5.26-mRNA-1	PR00237,PR00663
maker-318-augustus-gene-21.7-mRNA-1	PR00449
snap_masked-14-processed-gene-52.11-mRNA-1	PR00081
augustus_masked-111137-processed-gene-0.5-mRNA-1	PR01183
maker-172-augustus-gene-30.28-mRNA-1	PR00195
maker-113047-augustus-gene-0.0-mRNA-1	PR00122
maker-48-augustus-gene-17.25-mRNA-1	PR00320
augustus_masked-468-processed-gene-4.0-mRNA-1	PR00018,PR00722
maker-61-augustus-gene-4.11-mRNA-1	PR00345
augustus_masked-248232-processed-gene-0.2-mRNA-1	PR00237,PR00244
maker-18-augustus-gene-107.9-mRNA-1	PR01862
maker-15-augustus-gene-193.14-mRNA-1	PR00862
maker-21-augustus-gene-35.10-mRNA-1	PR00756
maker-209-snap-gene-2.32-mRNA-1	PR00213
maker-55-augustus-gene-2.7-mRNA-1	PR00018
augustus_masked-32-processed-gene-34.5-mRNA-1	PR00722
maker-377-augustus-gene-23.21-mRNA-1	PR00075
maker-72-snap-gene-4.23-mRNA-1	PR00237
maker-113257-augustus-gene-0.22-mRNA-1	PR00024
snap_masked-209-processed-gene-2.18-mRNA-1	PR00213
augustus_masked-72-processed-gene-4.4-mRNA-1	PR00237,PR01157
maker-398-snap-gene-5.9-mRNA-1	PR01577,PR01578
maker-471-snap-gene-2.35-mRNA-1	PR01597,PR01600
maker-6-snap-gene-339.7-mRNA-1	PR00765
augustus_masked-109115-processed-gene-0.1-mRNA-1	PR01711
augustus_masked-46-processed-gene-4.12-mRNA-1	PR00111
maker-0start-augustus-gene-116.3-mRNA-1	PR00205,PR01820
augustus_masked-86211-processed-gene-0.0-mRNA-1	PR01407
maker-150-augustus-gene-2.2-mRNA-1	PR01243
maker-72-augustus-gene-4.6-mRNA-1	PR00237
maker-13-augustus-gene-154.0-mRNA-1	PR00109
augustus_masked-112743-processed-gene-0.6-mRNA-1	PR00318,PR00442
snap_masked-67-processed-gene-10.18-mRNA-1	PR00453
maker-74-augustus-gene-5.1-mRNA-1	PR00401,PR00700
maker-22-augustus-gene-46.25-mRNA-1	PR00119
augustus_masked-314-processed-gene-1.6-mRNA-1	PR00452,PR01887
maker-25-augustus-gene-34.16-mRNA-1	PR00453
augustus_masked-213-processed-gene-2.35-mRNA-1	PR00988
maker-173-snap-gene-0.23-mRNA-1	PR00937
maker-54-augustus-gene-100.7-mRNA-1	PR00218
augustus_masked-72-processed-gene-4.1-mRNA-1	PR00237,PR01788
maker-80-augustus-gene-15.0-mRNA-1	PR01764
maker-13-augustus-gene-209.8-mRNA-1	PR01011
maker-13-augustus-gene-216.3-mRNA-1	PR00261
maker-340-snap-gene-0.3-mRNA-1	PR00786
maker-210-augustus-gene-5.21-mRNA-1	PR00401
augustus_masked-25-processed-gene-120.1-mRNA-1	PR00237,PR00242
snap_masked-0start-processed-gene-353.0-mRNA-1	PR00453
augustus_masked-27-processed-gene-80.3-mRNA-1	PR00018
snap_masked-54-processed-gene-65.11-mRNA-1	PR01077
augustus_masked-132-processed-gene-19.1-mRNA-1	PR00269
maker-153-augustus-gene-14.12-mRNA-1	PR02031
maker-274-augustus-gene-0.13-mRNA-1	PR00661,PR00935
augustus_masked-12-processed-gene-26.0-mRNA-1	PR00103
maker-109-augustus-gene-25.12-mRNA-1	PR00503
maker-146-augustus-gene-18.0-mRNA-1	PR00119
snap_masked-99-processed-gene-16.9-mRNA-1	PR01463,PR01464
maker-323-augustus-gene-61.15-mRNA-1	PR00080,PR00081
maker-7-augustus-gene-256.8-mRNA-1	PR00452,PR00499
maker-64-augustus-gene-38.10-mRNA-1	PR00413
maker-265-augustus-gene-0.12-mRNA-1	PR01716
augustus_masked-47-processed-gene-61.0-mRNA-1	PR00169,PR01491,PR01496,PR01511
augustus_masked-15-processed-gene-107.0-mRNA-1	PR00704
maker-0start-snap-gene-337.3-mRNA-1	PR00205
maker-18-augustus-gene-130.5-mRNA-1	PR00252
snap_masked-31-processed-gene-43.7-mRNA-1	PR01196
augustus_masked-13-processed-gene-162.17-mRNA-1	PR00176,PR01204
maker-29-snap-gene-66.12-mRNA-1	PR00660
maker-247326-augustus-gene-0.16-mRNA-1	PR00320
maker-471-snap-gene-8.12-mRNA-1	PR00119
maker-7-snap-gene-19.1-mRNA-1	PR00742
maker-126-augustus-gene-11.3-mRNA-1	PR00310
augustus_masked-9-processed-gene-36.1-mRNA-1	PR01698
augustus_masked-112926-processed-gene-0.16-mRNA-1	PR00237,PR01018
maker-0start-augustus-gene-67.11-mRNA-1	PR00661,PR00935
maker-47-snap-gene-34.0-mRNA-1	PR00785
maker-160-snap-gene-0.3-mRNA-1	PR01263
maker-187-snap-gene-1.40-mRNA-1	PR00176
augustus_masked-79-processed-gene-32.4-mRNA-1	PR00449
augustus_masked-13-processed-gene-167.16-mRNA-1	PR00380
augustus_masked-2-processed-gene-213.2-mRNA-1	PR00237,PR00513,PR01101
augustus_masked-16-processed-gene-109.0-mRNA-1	PR00237
maker-0start-snap-gene-36.19-mRNA-1	PR00377,PR00378
maker-95-snap-gene-4.11-mRNA-1	PR01347
maker-29-snap-gene-68.6-mRNA-1	PR01697
maker-146-snap-gene-20.8-mRNA-1	PR00176
maker-13-augustus-gene-145.1-mRNA-1	PR00625
maker-372-snap-gene-6.21-mRNA-1	PR01217
maker-372-augustus-gene-7.29-mRNA-1	PR00261
maker-54-augustus-gene-171.0-mRNA-1	PR00190
augustus_masked-247319-processed-gene-0.10-mRNA-1	PR01077
maker-209-augustus-gene-2.43-mRNA-1	PR00213
maker-32-augustus-gene-74.2-mRNA-1	PR00153
maker-458-augustus-gene-0.6-mRNA-1	PR00165,PR01231
augustus_masked-16-processed-gene-139.18-mRNA-1	PR00248,PR01176
maker-6-augustus-gene-251.0-mRNA-1	PR00237,PR00524,PR01822
maker-12-augustus-gene-143.23-mRNA-1	PR00689
maker-10-augustus-gene-67.47-mRNA-1	PR01485
maker-59-augustus-gene-43.12-mRNA-1	PR00837
snap_masked-436-processed-gene-1.5-mRNA-1	PR00237,PR01428,PR01430
maker-0start-augustus-gene-192.2-mRNA-1	PR00465
augustus_masked-15-processed-gene-79.4-mRNA-1	PR01333
maker-368-snap-gene-42.9-mRNA-1	PR00380
maker-67-augustus-gene-17.14-mRNA-1	PR00237,PR01479
maker-17-augustus-gene-42.1-mRNA-1	PR00398,PR01293
snap_masked-59-processed-gene-62.2-mRNA-1	PR01178
maker-32-snap-gene-7.6-mRNA-1	PR00262,PR00263
augustus_masked-110487-processed-gene-0.2-mRNA-1	PR01407
augustus_masked-108691-processed-gene-0.0-mRNA-1	PR00237,PR00245
snap_masked-261-processed-gene-0.2-mRNA-1	PR01320,PR01328
maker-1-augustus-gene-356.1-mRNA-1	PR01347
augustus_masked-10-processed-gene-105.7-mRNA-1	PR00405
maker-86-augustus-gene-4.0-mRNA-1	PR00259
maker-12-augustus-gene-30.14-mRNA-1	PR00926
maker-323-augustus-gene-36.6-mRNA-1	PR00013,PR00138
maker-7-augustus-gene-122.10-mRNA-1	PR00024
maker-7-snap-gene-77.3-mRNA-1	PR00449
maker-19-augustus-gene-72.6-mRNA-1	PR00489
maker-85-snap-gene-0.0-mRNA-1	PR00148
maker-349-augustus-gene-0.29-mRNA-1	PR00109,PR01939,PR01940
snap_masked-206-processed-gene-1.20-mRNA-1	PR00237
maker-10-snap-gene-71.35-mRNA-1	PR00722
maker-186-augustus-gene-1.2-mRNA-1	PR00449
snap_masked-47-processed-gene-32.1-mRNA-1	PR00065
maker-120-snap-gene-5.36-mRNA-1	PR00008,PR00360
maker-283-augustus-gene-1.17-mRNA-1	PR00881,PR00883
augustus_masked-54-processed-gene-65.1-mRNA-1	PR00217
snap_masked-5-processed-gene-1.2-mRNA-1	PR01771
maker-95-augustus-gene-1.24-mRNA-1	PR01451
augustus_masked-218-processed-gene-0.12-mRNA-1	PR00237,PR00564,PR00657
maker-67-snap-gene-31.8-mRNA-1	PR00205
snap_masked-103808-processed-gene-0.0-mRNA-1	PR00245
snap_masked-54-processed-gene-73.8-mRNA-1	PR00237,PR00243,PR00541
maker-230-snap-gene-2.29-mRNA-1	PR00814
augustus_masked-39-processed-gene-52.4-mRNA-1	PR00401
maker-31-snap-gene-23.17-mRNA-1	PR01161,PR01162
snap_masked-275-processed-gene-7.11-mRNA-1	PR00130
maker-120-snap-gene-2.3-mRNA-1	PR00500
maker-12-augustus-gene-171.22-mRNA-1	PR00131
maker-35-snap-gene-13.14-mRNA-1	PR00937
maker-4-augustus-gene-54.19-mRNA-1	PR01773
maker-222-augustus-gene-0.37-mRNA-1	PR00170,PR01667
maker-10-augustus-gene-21.18-mRNA-1	PR01384
augustus_masked-10-processed-gene-49.6-mRNA-1	PR00320
maker-7-augustus-gene-205.18-mRNA-1	PR00024,PR00031
maker-113257-snap-gene-0.8-mRNA-1	PR00024
maker-18-snap-gene-85.7-mRNA-1	PR01415
maker-398-augustus-gene-22.34-mRNA-1	PR00080,PR00081
augustus_masked-10-processed-gene-109.8-mRNA-1	PR00237,PR00241,PR00635
augustus_masked-110026-processed-gene-0.2-mRNA-1	PR00245
snap_masked-222-processed-gene-0.13-mRNA-1	PR00041
maker-48-snap-gene-22.8-mRNA-1	PR00511
maker-10-augustus-gene-47.1-mRNA-1	PR01450
snap_masked-1-processed-gene-222.3-mRNA-1	PR00628
snap_masked-46-processed-gene-2.2-mRNA-1	PR01768,PR01769
augustus_masked-19-processed-gene-47.1-mRNA-1	PR00237,PR00857,PR01149
maker-99-augustus-gene-62.10-mRNA-1	PR00775
snap_masked-172-processed-gene-31.26-mRNA-1	PR00300
snap_masked-113282-processed-gene-0.3-mRNA-1	PR00205
maker-25-snap-gene-95.15-mRNA-1	PR00146
augustus_masked-112616-processed-gene-0.0-mRNA-1	PR00237,PR00245
snap_masked-277-processed-gene-3.17-mRNA-1	PR00683
augustus_masked-110123-processed-gene-0.1-mRNA-1	PR00412
augustus_masked-4-processed-gene-251.1-mRNA-1	PR00360,PR00399
maker-18-augustus-gene-89.9-mRNA-1	PR00262,PR00263
snap_masked-113042-processed-gene-0.2-mRNA-1	PR00237
maker-111295-snap-gene-0.19-mRNA-1	PR00237,PR01570,PR01571
maker-178-augustus-gene-1.2-mRNA-1	PR00385,PR00463
snap_masked-70-processed-gene-8.6-mRNA-1	PR00047
maker-32-augustus-gene-51.2-mRNA-1	PR00387
augustus_masked-25-processed-gene-125.0-mRNA-1	PR00237,PR00652
maker-113036-snap-gene-0.2-mRNA-1	PR01166
maker-113-snap-gene-40.14-mRNA-1	PR01185
maker-132-augustus-gene-9.13-mRNA-1	PR00449
maker-13-augustus-gene-74.12-mRNA-1	PR01472,PR01474
maker-22-augustus-gene-46.27-mRNA-1	PR00360
maker-394-snap-gene-1.29-mRNA-1	PR00138
maker-148-augustus-gene-6.8-mRNA-1	PR00193
augustus_masked-207-processed-gene-9.1-mRNA-1	PR00320
snap_masked-17-processed-gene-4.5-mRNA-1	PR00723
snap_masked-209-processed-gene-1.23-mRNA-1	PR00237
maker-372-augustus-gene-7.32-mRNA-1	PR00179,PR01254
maker-132-augustus-gene-5.11-mRNA-1	PR00503
maker-374-augustus-gene-3.12-mRNA-1	PR00401,PR00452
augustus_masked-19-processed-gene-66.4-mRNA-1	PR00248,PR00593,PR01055
maker-28-augustus-gene-54.6-mRNA-1	PR02044
maker-54-snap-gene-68.0-mRNA-1	PR00454
snap_masked-444-processed-gene-5.32-mRNA-1	PR00756
maker-112918-snap-gene-0.11-mRNA-1	PR00299
snap_masked-238-processed-gene-31.17-mRNA-1	PR00784
augustus_masked-422-processed-gene-34.23-mRNA-1	PR00633
maker-15-augustus-gene-15.1-mRNA-1	PR00449
augustus_masked-295-processed-gene-30.2-mRNA-1	PR00176
augustus_masked-248707-processed-gene-0.3-mRNA-1	PR00369,PR00371
maker-16-snap-gene-0.5-mRNA-1	PR00320
snap_masked-241-processed-gene-2.20-mRNA-1	PR00398
augustus_masked-246-processed-gene-8.0-mRNA-1	PR01100
augustus_masked-84-processed-gene-3.5-mRNA-1	PR00024
maker-67-snap-gene-37.6-mRNA-1	PR00401
snap_masked-290-processed-gene-3.29-mRNA-1	PR01415
maker-25-snap-gene-91.2-mRNA-1	PR00450
augustus_masked-162-processed-gene-0.16-mRNA-1	PR01231
maker-54-augustus-gene-68.25-mRNA-1	PR00047,PR00398,PR02034
snap_masked-109-processed-gene-52.12-mRNA-1	PR01426
augustus_masked-21-processed-gene-71.9-mRNA-1	PR00205
augustus_masked-18-processed-gene-133.10-mRNA-1	PR00237,PR00245
augustus_masked-6-processed-gene-341.4-mRNA-1	PR00237,PR00560,PR01103
maker-59-augustus-gene-294.3-mRNA-1	PR00119
snap_masked-109-processed-gene-52.13-mRNA-1	PR01423,PR01426
maker-0start-augustus-gene-495.6-mRNA-1	PR00389
maker-10-augustus-gene-71.13-mRNA-1	PR00385,PR00463
maker-275-augustus-gene-6.11-mRNA-1	PR00775
snap_masked-290-processed-gene-3.22-mRNA-1	PR00802
augustus_masked-39-processed-gene-43.3-mRNA-1	PR00109
snap_masked-257224-processed-gene-0.1-mRNA-1	PR01941
augustus_masked-13-processed-gene-10.16-mRNA-1	PR00047,PR00398,PR00545
maker-7-augustus-gene-66.2-mRNA-1	PR01231,PR01232
augustus_masked-32-processed-gene-118.9-mRNA-1	PR00053
maker-23-augustus-gene-32.9-mRNA-1	PR01415,PR01765,PR01767
maker-0start-augustus-gene-97.3-mRNA-1	PR01415
maker-76-augustus-gene-14.3-mRNA-1	PR00237,PR00238
maker-14-augustus-gene-102.6-mRNA-1	PR00301
augustus_masked-368-processed-gene-23.1-mRNA-1	PR00401,PR00629
snap_masked-112999-processed-gene-0.6-mRNA-1	PR00856,PR01788
maker-11-snap-gene-12.6-mRNA-1	PR01748
maker-14-snap-gene-29.5-mRNA-1	PR00205
augustus_masked-2-processed-gene-41.8-mRNA-1	PR00405
augustus_masked-283-processed-gene-2.20-mRNA-1	PR01964
maker-49-augustus-gene-36.25-mRNA-1	PR00504
snap_masked-4-processed-gene-138.9-mRNA-1	PR00727
maker-15-snap-gene-217.8-mRNA-1	PR00990
snap_masked-8-processed-gene-54.1-mRNA-1	PR00248,PR01051
maker-112342-snap-gene-0.0-mRNA-1	PR00237
maker-25-snap-gene-86.20-mRNA-1	PR00031
maker-4-augustus-gene-211.8-mRNA-1	PR00792
maker-209-augustus-gene-2.40-mRNA-1	PR00722
maker-321-snap-gene-0.8-mRNA-1	PR00024
augustus_masked-39-processed-gene-61.3-mRNA-1	PR00237,PR00667
maker-9-snap-gene-106.3-mRNA-1	PR01038
maker-109-augustus-gene-27.17-mRNA-1	PR01415
maker-51-snap-gene-4.1-mRNA-1	PR00683
augustus_masked-7-processed-gene-181.7-mRNA-1	PR00449
snap_masked-153-processed-gene-54.2-mRNA-1	PR00700
augustus_masked-223-processed-gene-1.2-mRNA-1	PR00237,PR01157
augustus_masked-4-processed-gene-9.5-mRNA-1	PR00621
snap_masked-99-processed-gene-30.2-mRNA-1	PR02107
maker-1-augustus-gene-329.7-mRNA-1	PR00926,PR00927
maker-77-augustus-gene-17.1-mRNA-1	PR00700
snap_masked-26-processed-gene-85.1-mRNA-1	PR00028
maker-158-augustus-gene-10.15-mRNA-1	PR00298
augustus_masked-192-processed-gene-1.20-mRNA-1	PR00138
maker-258-snap-gene-1.3-mRNA-1	PR01415
snap_masked-208-processed-gene-7.43-mRNA-1	PR00193
snap_masked-361-processed-gene-0.8-mRNA-1	PR01078
maker-243-augustus-gene-7.15-mRNA-1	PR00480
maker-7-augustus-gene-135.1-mRNA-1	PR00278
maker-10-augustus-gene-106.4-mRNA-1	PR00080,PR00081
maker-30-augustus-gene-19.18-mRNA-1	PR00053
maker-72-augustus-gene-29.0-mRNA-1	PR00014,PR00109
maker-422-augustus-gene-34.22-mRNA-1	PR00449
maker-55-snap-gene-24.2-mRNA-1	PR00299
augustus_masked-439-processed-gene-1.27-mRNA-1	PR00328
maker-6-augustus-gene-114.0-mRNA-1	PR00019,PR01537
augustus_masked-112483-processed-gene-0.4-mRNA-1	PR00463
snap_masked-112918-processed-gene-0.10-mRNA-1	PR00299
maker-238-augustus-gene-13.1-mRNA-1	PR00203,PR00204
maker-7-augustus-gene-122.16-mRNA-1	PR00024,PR00025
maker-295-augustus-gene-52.18-mRNA-1	PR00259
maker-6-augustus-gene-166.0-mRNA-1	PR00449
maker-62-augustus-gene-46.3-mRNA-1	PR00061
snap_masked-16-processed-gene-28.18-mRNA-1	PR00249
maker-12-augustus-gene-65.22-mRNA-1	PR01231
maker-56-snap-gene-11.21-mRNA-1	PR00053
snap_masked-394-processed-gene-3.16-mRNA-1	PR00305
maker-151-augustus-gene-12.2-mRNA-1	PR00249,PR01352
maker-113063-snap-gene-0.16-mRNA-1	PR00449
augustus_masked-59-processed-gene-269.1-mRNA-1	PR00237,PR00534,PR00535,PR01062
maker-38-snap-gene-13.18-mRNA-1	PR00011
maker-6-snap-gene-178.2-mRNA-1	PR00252,PR00253,PR01079
maker-459-augustus-gene-4.4-mRNA-1	PR00722
maker-7-augustus-gene-127.16-mRNA-1	PR00504
maker-158-snap-gene-22.5-mRNA-1	PR00153
snap_masked-58-processed-gene-5.18-mRNA-1	PR01217
snap_masked-10-processed-gene-66.5-mRNA-1	PR00014
maker-229-augustus-gene-3.36-mRNA-1	PR01932
augustus_masked-99-processed-gene-133.3-mRNA-1	PR00237,PR01649
maker-268-augustus-gene-4.33-mRNA-1	PR00237,PR00751,PR01846
augustus_masked-1-processed-gene-335.0-mRNA-1	PR00237,PR01428
maker-304-augustus-gene-1.4-mRNA-1	PR00028
maker-12-augustus-gene-143.20-mRNA-1	PR00360
snap_masked-186443-processed-gene-0.4-mRNA-1	PR00503
augustus_masked-246-processed-gene-21.2-mRNA-1	PR00625
maker-4-augustus-gene-299.11-mRNA-1	PR00019
augustus_masked-251765-processed-gene-0.3-mRNA-1	PR00380
maker-448-augustus-gene-2.7-mRNA-1	PR00706
maker-459-snap-gene-1.17-mRNA-1	PR00109
maker-23-snap-gene-25.36-mRNA-1	PR00148
maker-314-snap-gene-1.19-mRNA-1	PR01415
snap_masked-0start-processed-gene-538.3-mRNA-1	PR00109
maker-188-snap-gene-1.12-mRNA-1	PR00449
maker-18-augustus-gene-64.26-mRNA-1	PR00449
snap_masked-265-processed-gene-0.58-mRNA-1	PR00843
augustus_masked-4-processed-gene-9.4-mRNA-1	PR00205
maker-18-augustus-gene-31.10-mRNA-1	PR00047,PR00398,PR01282
snap_masked-238-processed-gene-31.15-mRNA-1	PR00784
augustus_masked-8-processed-gene-182.3-mRNA-1	PR00020
augustus_masked-103315-processed-gene-0.0-mRNA-1	PR00237,PR00245
augustus_masked-49-processed-gene-32.29-mRNA-1	PR00237,PR00663
augustus_masked-323-processed-gene-107.7-mRNA-1	PR00053
maker-8-augustus-gene-182.6-mRNA-1	PR00700
maker-380-augustus-gene-1.5-mRNA-1	PR00723
maker-58-snap-gene-8.29-mRNA-1	PR00237,PR00384
snap_masked-13-processed-gene-15.19-mRNA-1	PR00219
maker-45-augustus-gene-4.6-mRNA-1	PR02078
maker-231-snap-gene-4.6-mRNA-1	PR00935
snap_masked-257222-processed-gene-0.2-mRNA-1	PR00109
maker-69-snap-gene-9.18-mRNA-1	PR00028
augustus_masked-379-processed-gene-0.5-mRNA-1	PR00452,PR00499
maker-12-augustus-gene-65.23-mRNA-1	PR01231,PR01232
maker-160-augustus-gene-3.9-mRNA-1	PR00704
maker-21-augustus-gene-3.0-mRNA-1	PR00114
snap_masked-77-processed-gene-4.18-mRNA-1	PR01875
augustus_masked-100-processed-gene-0.4-mRNA-1	PR00169,PR01491,PR01496
maker-34-snap-gene-31.0-mRNA-1	PR00372
maker-112932-augustus-gene-0.3-mRNA-1	PR00018,PR00258,PR00722
maker-112182-augustus-gene-0.9-mRNA-1	PR00019
snap_masked-285-processed-gene-0.32-mRNA-1	PR01407
maker-129-snap-gene-6.48-mRNA-1	PR01415
maker-8-augustus-gene-129.3-mRNA-1	PR00237,PR00358,PR00639
augustus_masked-69-processed-gene-6.10-mRNA-1	PR00133
augustus_masked-160-processed-gene-8.1-mRNA-1	PR01077,PR01589
