#Rname	Rclass	Rfam	Rlen	FRG_NB_all	FRG_NB_Reconstructed_repeats	LEN_MASKED_NR	AVG_%DIV	MED_%DIV	AVG_%DEL	MED_%DEL	AVG_%INS	MED_%INS	AVG_LEN_MASKED	%_GENOME

Wilpoe131	LINE	CR1	317	3318	2948	648069	10.864769646436	10.7	2.49287298111639	1.2	1.67973255934339	1.4	0.00654736568774405	nd
Wilpoe059	LTR	ERVK	4426	330	300	135285	11.6688568577471	3.9	1.19269985586002	0.4	1.29853568392612	0.9	0.00136676861116093	nd
Wilpoe008	LTR	Unknown	543	939	924	444899	9.38061312792788	5.6	1.21182470628361	0.6	1.63101423019433	0.6	0.00449476282172368	nd
TguERVK7_LTR2-Lc_fAlb	LTR	ERV2	681	1	1	61	21.3	21.3	3.3	3.3	0	0.0	6.16275901103721e-07	nd
Wilpoe013	LTR	Unknown	2770	185	159	164841	6.23189740416273	5.7	2.09432180100797	1.8	5.90741805739952	5.8	0.00166536943957112	nd
Wilpoe065	LTR	Unknown	600	162	128	64873	9.90292417492548	7.5	2.75602947297041	1.5	1.75945000231178	1.2	0.000655404369381995	nd
Wilpoe106	LTR	Unknown	608	752	726	356855	10.1530262991999	8.3	2.83091479732557	2.1	2.9119524736946	2.5	0.00360526453587489	nd
Wilpoe096	LTR	ERV1	643	254	231	117044	10.5051066265666	9.6	3.3788882813296	2.6	2.44490191722728	1.9	0.00118248191096367	nd
TguERVL2a1_LTR-Lb_Ucy	LTR	ERV3	780	10	9	802	21.2139650872819	21.5	5.66820448877806	1.5	7.34850374064838	5.9	8.10251266697023e-06	nd
Wilpoe068	LTR	ERVL	2268	353	320	316965	7.75536573439391	6.5	0.708344138942799	0.4	0.340420551165472	0.1	0.00320226050808756	nd
Wilpoe005	LTR	Unknown	801	819	604	382320	9.83532459720243	9.1	3.96038135593256	3.5	7.36903980958402	7	0.00386253446737663	nd
CR1-J2b_Ucy	LINE	CR1	1205	8284	8065	2489269	18.9548555821341	18.4	3.99214440062604	3.1	0.932406541837597	0.5	0.0251487950174518	nd
fAlbLTR3b	LTR	ERV1	621	1	1	69	20.9	20.9	4.30000000000001	4.3	2.9	2.9	6.9709897010093e-07	nd
TguLTRL3c-Lb_fAlb	LTR	ERV3	564	1	1	45	9.80000000000001	9.8	0	0.0	9.80000000000001	9.8	4.54629763109302e-07	nd
GymnSINE_Gymnopithys_rufigula	SINE	RTE	302	99	98	11392	13.6002545646069	14	1.81503686797749	0.7	1.61974192415731	0.9	0.000115092050252026	nd
CR1-E5a_Ucy	LINE	CR1	1338	5294	5043	2180608	23.3692715059419	22.5	4.4708846340133	4	1.30340583910478	0.9	0.0220304288549833	nd
ManaSINE1_Zimmerius_chrysops	SINE	RTE	217	4	4	183	22.2245901639345	26.3	14.8344262295082	14.4	0.727868852459016	0.6	1.84882770331116e-06	nd
Wilpoe118	LTR	Unknown	940	18	18	7364	14.1329440521463	13	2.14134980988587	1.6	2.15131721890277	0.9	7.43976350119312e-05	nd
fAlbLTRL3	LTR	ERV3	702	1	1	41	19.5	19.5	0	0.0	0	0.0	4.14218228610698e-07	nd
Wilpoe010	LTR	Unknown	593	1288	1152	517352	14.9354839644959	15.9	5.10435854118521	4.7	5.61084716015802	5.1	0.00522674704898053	nd
CR1-J1b_fAlb	LINE	CR1	441	1219	1204	206850	19.7380507614192	19.4	5.57572105390281	4.3	1.20215228426383	0.7	0.00208978147775909	nd
Wilpoe093	LTR	Unknown	591	690	629	256166	10.5723554257746	8.8	2.11054316341803	1.2	2.47123818149308	1.5	0.00258801528659239	nd
Wilpoe037	LTR	ERVL	1537	500	445	185657	12.830024184391	7.1	2.7536478559923	1.1	2.2648335371145	2.2	0.00187567106510186	nd
AviRTE_Gymnopithys_rufigula	LINE	RTE-BovB	3976	142	139	91983	7.38027244164754	7.4	1.21704771533881	0.8	0.234968418077302	0.1	0.000929293544446288	nd
Wilpoe103	LTR	ERVL	798	1385	1247	529135	11.6341425156031	10.0	3.60737127575926	2.3	2.17696070000996	0.5	0.00534578932672979	nd
CR1-X1b_Ucy	LINE	CR1	754	435	433	70126	18.3040027949686	18	4.51113567007871	3.4	1.09111028719725	0.5	0.000708474817062287	nd
AviRTE_Zimmerius_chrysops	LINE	RTE-BovB	3992	7	7	156	9.98461538461537	8.9	0.294230769230769	0	0.0230769230769231	0	1.57604984544558e-06	nd
TguERVL2_I-b_fAlb	LTR	ERV3	2107	70	63	10754	28.3706992746876	30.5	5.9985214803794	4	3.69895852705949	3.4	0.000108646410499499	nd
Wilpoe071	LTR	ERVL	976	397	285	119726	14.2103828742274	13.9	5.75076925646844	4.8	5.06676411138803	3.4	0.00120957784484498	nd
fAlbLTR3a	LTR	ERV1	596	1	1	70	26.1	26.1	0	0	1.4	1.4	7.07201853725581e-07	nd
Wilpoe035	LTR	ERVL	1113	2157	1988	862671	16.7830896135349	15.9	6.16147720277652	5.6	3.46832940947692	3.1	0.00871546471936144	nd
Wilpoe136	LINE	CR1	391	279	269	76394	10.8786357567338	10.9	3.94580988035715	3.2	3.33737073592145	3	0.000771799691621601	nd
Wilpoe114	LTR	Unknown	434	194	178	61527	15.5221236205238	16.0	3.09100720008971	2.0	6.85399743202123	6.5	0.000621600120773912	nd
CR1-M1_Ucy	LINE	CR1	678	2455	2421	419560	28.8457257603311	30.5	5.92615382781964	5.4	2.68167318142723	2.3	0.00423876585355864	nd
Wilpoe133	LTR	Unknown	823	56	52	17739	6.69847229268835	5.4	0.400225491854103	0.0	2.75624330571135	0.6	0.000179215052617687	nd
Wilpoe007	LINE	CR1	3167	2028	1847	1030829	22.7685449284247	27.6	3.54985919100455	3.0	1.65468094126162	1.2	0.0104143454239155	nd
Wilpoe070	LTR	Unknown	3378	401	337	330838	6.55413858142929	1.5	0.773202594624388	0.3	1.00919725061873	0.5	0.00334241781261234	nd
TguLTRL4b_fAlb	LTR	ERV3	1111	76	67	12135	21.9243098475496	21.9	9.09421508034654	10.8	3.1418953440461	2.4	0.000122598492785142	nd
Wilpoe064	LTR	Unknown	582	214	209	75339	13.1841848179564	16.3	3.05923359747327	2.4	3.60456735555341	3.9	0.000761141149397594	nd
Wilpoe011	LTR	ERVL	3245	326	207	475618	9.55565012258401	6.3	1.66017350058186	0.9	0.684635358626624	0.3	0.00480511330378934	nd
CR1-X1NA_fAlb	LINE	CR1	284	499	490	40892	14.5463024552463	14.3	4.40924141641359	2.4	2.29803384525108	0.7	0.000413127117179235	nd
Wilpoe110	LTR	ERVL	574	280	256	86282	16.1800398692672	14.5	6.04734243526991	3.8	2.97112955193355	2.1	0.000871697004902152	nd
TguERVL2a2_LTR-La_fAlb	LTR	ERV3	677	5	5	387	22.2286821705427	22.6	4.6454780361757	4.9	4.48785529715763	4.7	3.90981596274e-06	nd
BuceSINE_Buceros_rhinoceros	SINE	RTE	564	145	144	4520	13.9693362831861	13.3	1.81174778761061	0	1.58969026548675	0	4.56650339834233e-05	nd
Wilpoe018	LTR	Unknown	2592	68	56	27937	10.1982138382815	7.3	2.56952428678856	2.3	6.99745856749033	5.9	0.000282244259821879	nd
AviRTE_Loa_loa	LINE	RTE-BovB	3998	9	9	326	19.7963190184048	19	5.87699386503067	6.5	1.15981595092025	0	3.29354006163628e-06	nd
Wilpoe137	LTR	ERVL	1460	509	481	131886	13.3352637884212	14.2	2.80861425776765	1.9	3.21111035288029	3	0.00133242890972074	nd
Wilpoe003	LTR	ERVK	5128	266	244	718908	3.85048309381436	2.1	0.327056869585921	0	0.22180598908443	0.1	0.00726304386083072	nd
TguERVL2b1_LTR-La_fAlb	LTR	ERV3	577	1	1	17	19.8	19.8	14.1	14.1	1	1.0	1.7174902161907e-07	nd
Wilpoe060	LTR	ERVL	845	262	233	116998	12.8096779432097	12.1	4.99205371031765	4.3	3.39990427186788	2.4	0.00118201717831694	nd
Wilpoe006	LTR	ERVL	4410	1462	1182	3037778	10.2589060161646	10.1	0.681256069405806	0.1	1.59664600245106	1.7	0.0306903176115256	nd
fAlbLTR1	LTR	ERV1	531	1	1	40	15	15	0	0	0	0	4.04115344986046e-07	nd
ManaSINE1_Manacus_vitellinus	SINE	RTE	331	55	55	2398	13.9494995829861	15.7	4.1147206005004	0	0.874937447873226	0	2.42267149319135e-05	nd
Wilpoe074	LTR	ERVK	2774	319	281	170037	10.9376453360185	4.5	1.31098702047169	0.5	1.57814416862369	0.8	0.00171786402288481	nd
Wilpoe105	LTR	Unknown	548	513	488	223857	14.5204938867191	14.8	2.85819384696587	2.1	4.26871038207472	3.9	0.00226160121956354	nd
Wilpoe095	SINE	RTE	355	4376	4331	1371436	6.35685901493349	6.2	1.31817029742359	0.6	0.521344634383606	0	0.0138554583066571	nd
AviRTE_Melopsittacus_undulatus	LINE	RTE-BovB	3999	18	18	613	17.1295269168026	16.4	4.81990212071782	2.8	1.87830342577487	0.0	6.19306766191116e-06	nd
Wilpoe078	LTR	Unknown	812	297	279	113382	11.2279479987983	10.7	2.50582720361156	1.4	3.87108535746334	3.8	0.0011454851511302	nd
Wilpoe097	LTR	Unknown	589	436	399	190686	13.1399704225722	11.7	3.48774267644145	2.5	3.11265693338993	2.9	0.00192647846685023	nd
Wilpoe033	LTR	ERVL	595	1668	1557	602063	13.7153012226195	13.0	3.87379045050138	3.0	1.09776817376232	0.5	0.00608257242370835	nd
Wilpoe107	LTR	Unknown	467	458	389	105279	16.8185497582593	14.8	5.52705382839991	4.2	4.15375430997637	4.1	0.00106362148511965	nd
CR1-E4_fAlb	LINE	CR1	438	3897	3876	958371	17.654021041968	17.0	3.82026177753928	2.6	1.07218644971538	0.6	0.00968231068224056	nd
Wilpoe111	LTR	Unknown	669	170	169	34473	4.80789023293616	4.5	0.411194267977825	0.0	1.87259014301127	1.3	0.000348276707192599	nd
TguLTR6a_Ucy	LTR	ERV3	464	1124	917	328120	20.0157320492513	20.2	8.4532155918551	7.9	3.89787364378817	2.4	0.00331495817492054	nd
Wilpoe135	LINE	CR1	433	8114	8090	2458387	3.88548418129833	3.0	0.683182143412756	0.0	0.17093634972817	0.0	0.0248367977653553	nd
Wilpoe014	LTR	Unknown	2711	187	164	123984	9.28193557233017	6.8	2.69406536327182	2	6.47202461608054	6.9	0.00125259592331875	nd
Wilpoe036	LTR	Unknown	1310	350	316	220576	10.9944545190747	9.2	4.55136959596711	3.6	2.78938189104555	2.3	0.00222845365839105	nd
Wilpoe061	LTR	Unknown	718	2968	2851	1804851	10.0593222930828	9.4	2.19947729757284	1.3	2.90020417198236	1.9	0.0182341996128353	nd
Wilpoe017	LTR	Unknown	2850	395	317	385468	6.41927760540596	5	2.32200727427472	1.9	6.53698517127073	6.1	0.00389433834502703	nd
Wilpoe122	LINE	CR1	236	3441	3413	457261	11.3964447000731	11.0	3.56273812986476	0.9	1.01189561322712	0.5	0.00461965466909161	nd
AviRTE_Ara_macao	LINE	RTE-BovB	3991	10	10	392	18.406887755102	19.4	3.45459183673473	1.6	2.54591836734695	2.7	3.96033038086326e-06	nd
Wilpoe042	LTR	Unknown	751	1232	938	605778	3.41258117660197	3.2	1.67414944088507	0.9	2.66548603613965	2	0.00612010463637393	nd
Wilpoe030	LTR	Unknown	561	138	134	39006	9.78091832025756	9.7	2.29923857868092	1.6	2.36303132851387	2.1	0.000394073078663143	nd
UcyLTRK6	LTR	ERV2	544	1	1	71	23.9	23.9	7	7.0	0	0.0	7.17304737350232e-07	nd
UcyLTRL4	LTR	ERV3	709	391	355	138731	25.883546575743	26.0	7.36183333213187	7.0	8.06889303760477	8.2	0.00140158314813148	nd
Wilpoe138	LTR	Unknown	515	152	145	55140	9.41212368516686	4.9	1.89286724700698	0.9	2.37273122959656	0.4	0.000557073003063265	nd
CR1-X1_fAlb	LINE	CR1	1080	1945	1933	392924	16.3739140393564	15.6	3.95084112958044	2.9	1.05278603495808	0.5	0.00396966544533243	nd
Wilpoe001	LTR	Unknown	318	628	569	156021	10.9022868716372	9.4	2.85902346478932	1.6	1.27229155049592	0.6	0.0015762620060017	nd
TguERVL2b1_LTR-Lb_fAlb	LTR	ERV3	645	1	1	29	3.5	3.5	0	0.0	0	0.0	2.92983625114884e-07	nd
fAlbLTRL4	LTR	ERV3	651	1	1	38	10.5	10.5	10.5	10.5	0	0	3.83909577736744e-07	nd
Wilpoe075	LTR	Unknown	507	150	131	44392	14.5767435573952	10.9	5.14792980717176	3.7	3.63617543701594	1.8	0.000448487209865514	nd
fAlbLTRK14	LTR	ERV2	578	2	2	111	12.9009009009009	16.1	9.03873873873875	3.5	1.82882882882883	3.5	1.12142008233628e-06	nd
CR1-J2_fAlb	LINE	CR1	398	468	463	67859	18.5839137034142	18.6	4.2673882609531	3.0	1.053393065032	0.1	0.000685571579885203	nd
Wilpoe029	LINE	CR1	1123	5748	5549	2835038	19.3032623901165	17.1	4.7651455112803	4.1	2.22207723494443	2	0.0286420589854638	nd
Wilpoe149	LINE	CR1	186	796	793	93833	7.29422378054673	5.8	2.88324256924624	0.7	1.69023691025641	1.1	0.000947983879151892	nd
TguERVL2a2_LTR-Lb_fAlb	LTR	ERV3	802	9	9	1464	24.748087431694	24.1	10.1200136612019	10.8	2.49296448087433	1.7	1.47906216264893e-05	nd
Wilpoe104	LTR	Unknown	439	192	188	79312	18.4708442606455	19	1.83771686503931	1.4	3.40371948759323	2.7	0.000801279906038333	nd
Wilpoe094	LTR	Unknown	346	578	418	108576	13.8401718611816	15.4	1.81954299292631	0.9	2.23079041408745	1.4	0.00109693069243012	nd
Wilpoe031	LTR	ERVL	593	1541	1489	556005	16.7388304062008	16.0	5.11076842833924	4.2	1.42532962833143	0.9	0.00561725380972417	nd
Wilpoe077	LTR	Unknown	2539	2113	1861	366706	20.5312953701325	24.6	5.0001696181655	3.2	3.2472372963634	2.8	0.00370478804246133	nd
Wilpoe098	LTR	Unknown	563	848	830	379370	11.9174882041286	10.5	3.31195982813544	2.6	3.31948862588007	2.5	0.00383273096068391	nd
Wilpoe108	LTR	Unknown	352	145	139	45832	11.2571587537085	10.4	2.32542764880484	1.1	4.01735468668203	1.4	0.000463035362285012	nd
TguLTRL4b-a_Ucy	LTR	ERV3	1115	819	738	470459	17.8408700864585	17.3	5.04886164362619	4.3	1.74272465825887	1.2	0.00475299252716976	nd
Wilpoe000	LTR	Unknown	507	990	950	411677	6.8910432207788	5.8	2.2055674715854	1.4	2.99144474916302	2.6	0.00415912482194552	nd
Wilpoe066	LTR	Unknown	501	232	223	89872	17.8019705803806	19.5	3.42015533202752	3.1	6.20706449172242	7.7	0.000907966357114649	nd
AviRTE_Tinamus_guttatus	LINE	RTE-BovB	3999	44	44	14856	11.7031435110376	11.8	3.66985729671564	2.4	0.434026655896693	0.1	0.000150088439127818	nd
TguLTR13e_Ucy	LTR	ERV1	439	4	4	882	25.1035147392291	24.4	5.26439909297054	5.6	6.08095238095238	5.5	8.91074335694232e-06	nd
Wilpoe113	LTR	Unknown	361	191	181	55624	19.1884761973255	22.1	3.40995793182818	2.9	4.7439486552568	4.7	0.000561962798737596	nd
Wilpoe082	LINE	CR1	612	1355	1303	171465	14.1058198466141	13.4	3.70823666637494	2.4	1.44634415186742	0.9	0.00173229094070081	nd
AviRTE_Wuchereria_bancrofti	LINE	RTE-BovB	3997	3	3	44	18.7772727272727	21.2	1.06818181818182	0	2.53181818181818	3.4	4.44526879484651e-07	nd
CR1-J3_fAlb	LINE	CR1	998	5609	5493	1551353	18.4464397851298	17.8	3.65326247475612	2.6	0.738718202755915	0.2	0.0156731388197535	nd
Wilpoe134	LTR	Unknown	777	1207	1045	224361	7.85995649867801	6.8	2.14609000673054	1.7	4.63935799893955	4.6	0.00226669307291036	nd
Wilpoe116	LTR	Unknown	590	243	233	87489	6.95335299294878	3.3	1.27234280881011	0.3	1.40775754666244	0.3	0.000883891185437105	nd
Wilpoe052	LTR	Unknown	903	945	691	381900	17.7140002618484	16.3	7.22080806494073	6.4	6.25147106572149	4.9	0.00385829125625428	nd
Wilpoe015	LTR	Unknown	1405	1124	783	530771	14.140164779158	13.9	5.30877195626822	4.6	5.06341435383173	4.8	0.00536231764433972	nd
TguERVL2a2_LTR_Ucy	LTR	ERV3	726	3	3	363	26.7625344352618	26.0	12.3446280991735	13.7	1.24820936639119	2.3	3.66734675574837e-06	nd
fAlbLTRK12b	LTR	ERV2	2771	10	6	707	23.3035360678924	26.3	3.39929278642153	0.0	1.8975954738331	0.0	7.14273872262837e-06	nd
Wilpoe063	LTR	Unknown	542	422	398	168388	8.9998574720238	8	3.41926443689698	2.4	1.26205846022335	0.4	0.00170120436778776	nd
TguLTRL1a6-L_fAlb	LTR	ERV3	1728	15	15	6223	27.6879640044983	30.4	7.06582034388534	1.8	8.05542342921403	6.5	6.28702447962042e-05	nd
Wilpoe102	SINE	AviRTE	299	4442	4416	1200418	7.49998258941297	7.8	1.17193877465971	0.7	1.25212517639005	1	0.0121276833549365	nd
Wilpoe092	Unknown	Unknown	2278	320	285	157791	10.9602714983722	9.2	2.10032131110254	1.5	2.09160471763232	1.2	0.00159414411001733	nd
AviRTE_Manacus_vitellinus	LINE	RTE-BovB	3991	80	80	1918	12.466110531804	11.1	1.25646506777894	0	1.06423357664233	0	1.93773307920809e-05	nd
fAlbLTR5	LTR	ERV1	616	78	78	7580	19.9933113456463	20.2	3.98370712401041	3.6	4.65302110817928	4.6	7.65798578748558e-05	nd
Wilpoe141	LTR	Unknown	570	391	378	106172	16.089030064422	15.8	5.72206702332024	5.7	7.00970783257166	6.8	0.00107264336019646	nd
TguLTRL3-L_Ucy	LTR	ERV3	605	2	2	162	18.6259259259259	17.2	8.61728395061728	6.5	4.19012345679011	5.4	1.63666714719349e-06	nd
Wilpoe021	LTR	Unknown	1394	1219	884	229336	11.5994431750718	7.7	1.33430904873115	0.3	0.632127969442608	0.1	0.002316954918943	nd
AviRTE_Buceros_rhinoceros	LINE	RTE-BovB	3997	11	11	806	20.7156327543426	17.1	3.80136476426801	5.6	1.46352357320099	0.3	8.14292420146884e-06	nd
Wilpoe088	LTR	ERVL	956	588	506	163909	16.3971618398008	16.0	5.18839111946157	4.5	4.88969672196478	3.6	0.00165595355203295	nd
Wilpoe009	LTR	Unknown	2080	175	164	99449	5.06320123882622	3.3	0.68688071272697	0.3	0.829789138151312	0.4	0.00100472167358793	nd
Wilpoe058	LINE	CR1	1142	4070	3990	1965539	13.3049871816251	11.8	3.06372735417806	2.3	0.71010333552334	0.4	0.0198576117767132	nd
Wilpoe124	LTR	Unknown	531	839	677	247564	16.0003312274772	16.8	5.11952747572542	4.3	6.0929921151741	5.1	0.00250111028165314	nd
Wilpoe044	LINE	Unknown	559	589	569	265287	13.0806895927849	11.7	2.80311247818327	2.3	3.70474128019915	3.6	0.00268016368813283	nd
Wilpoe150	LTR	Unknown	461	9471	8898	1181159	6.44518400993833	4.0	1.52366362191809	0.2	1.29991135825052	0.0	0.0119331119192093	nd
TguLTRK1a-Lb_Ucy	LTR	ERV2	1010	1	1	76	20.9	20.9	0	0	11.8	11.8	7.67819155473488e-07	nd
TguLTRL1b-L_fAlb	LTR	ERV3	557	1	1	63	25.4	25.4	11.1	11.1	0	0.0	6.36481668353023e-07	nd
AviRTE_Mesitornis_unicolor	LINE	RTE-BovB	3972	20	20	2206	13.2830915684494	12.1	3.44913871260194	1.4	1.00231187669992	0	2.22869612759805e-05	nd
TguSINE1_Ucy	SINE	SINE	147	3008	2987	286749	14.6170706785378	14.5	2.16151651793077	0.0	2.69226361730857	2.3	0.0028969917764851	nd
fAlbLTRK11	LTR	ERV2	569	1	1	33	9.4	9.4	0	0.0	3.1	3.1	3.33395159613488e-07	nd
Wilpoe048	LTR	Unknown	2793	472	409	275329	8.25901557772091	6.2	1.89294952584021	1.6	5.23165340374777	4.2	0.00278161684549158	nd
TguLTRL3c_fAlb	LTR	ERV3	598	1	1	35	11.4	11.4	2.9	2.9	0	0.0	3.53600926862791e-07	nd
TguLTRL4a-Lb_fAlb	LTR	ERV3	1434	33	33	7072	26.7572256787341	27.5	10.8166148190035	10.5	6.47174773755675	6.2	7.1447592993533e-05	nd
Wilpoe132	LTR	Unknown	218	133	132	26570	9.67084681972134	9.3	0.732928114414763	0.5	1.20888972525428	1	0.000268433617906981	nd
Wilpoe140	LTR	ERVK	6608	273	242	444405	4.90790585164332	2.4	0.638254520087839	0.3	0.634320270922951	0.3	0.0044897719972131	nd
CR1-E6_fAlb	LINE	CR1	221	4871	4839	577293	15.6499782606038	14.8	3.48311412055992	1.2	1.24599605399615	0.6	0.00583232399632574	nd
Wilpoe020	LTR	Unknown	2676	102	90	58830	8.92067312595852	7.9	2.51936936936967	2.3	7.78118986911695	7.4	0.000594352643638228	nd
Wilpoe084	Unknown	Unknown	3517	463	436	144147	11.7694929481668	9.8	1.50700118628891	0.8	3.22348435971568	2.4	0.00145630036584259	nd
fAlbLTR4	LTR	ERV1	517	887	729	248813	20.0951115898248	19.7	5.86235445897321	4.6	5.86382142412023	4.7	0.00251372878330033	nd
Wilpoe151	LTR	Unknown	611	85	83	36005	2.79626718511413	1.6	0.373120399944456	0.0	0.593892514928516	0.2	0.000363754324905565	nd
Wilpoe039	LTR	Unknown	604	855	821	392114	9.92089494382216	8.7	3.77698373432771	4.7	4.03721519763479	4.1	0.00396148210959647	nd
Wilpoe023	LINE	CR1	403	708	673	158457	9.37180623134509	9.2	3.25201221782539	2.1	1.94466953179647	1.4	0.00160087263051135	nd
Wilpoe143	LTR	Unknown	599	251	249	123744	9.94020073700427	7	0.980154997413493	0.2	0.827976305921418	0.2	0.00125017123124883	nd
CR1-J2a_Ucy	LINE	CR1	1179	5889	5774	1961479	19.7872710847204	19.1	4.15752781447569	3.3	1.03706330783962	0.6	0.0198165940691971	nd
Wilpoe072	LTR	Unknown	627	518	384	194103	14.5914972978234	11.4	2.89821074378015	2.2	4.52139225050753	2.4	0.00196100002019566	nd
TguERVK6a_LTR_Ucy	LTR	ERV2	759	2	2	99	18.9040404040404	23.1	1.99191919191919	2.9	3.09090909090909	4.5	1.00018547884047e-06	nd
Wilpoe087	Unknown	Unknown	1210	1025	1009	160154	10.1081821247016	8.6	2.05859859884908	0.9	7.02371717222091	6.1	0.00161801722402238	nd
CR1-J1a_fAlb	LINE	CR1	424	975	967	88358	16.0712906584587	16	4.19336902148093	2.3	1.74508929581965	1	0.000892670591306927	nd
fAlbLTRK1d	LTR	ERV2	577	1	1	134	21.9000000000001	21.9	2.19999999999999	2.2	18.1	18.1	1.35378640570326e-06	nd
